Author	Title	Tags	Directory
Omar El Akkad	American War	Fiction, BBC-100-Most-Inspiring-Novels, Novel, Egyptian-Canadian, 2017, Crime-Conflict	fiction
Kamila Shamsie	Home Fire	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, 2017, Politics-Power-Protest	fiction
N. K. Jemisin	The Stone Sky	Orbit Books, Nebula-Award-for-Best-Novel2017, Fiction, Locus-Award-For-Best-Fantasy-Novel, Hugo-Award-for-Best-Novel2018, Hugo-Award-for-Best-Novel, Locus-Award-for-Best-Fantasy2018, 2017, Novel, Locus-Award-for-Best-Fantasy-Fiction, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
Noah Hawley	Before the Fall	2017, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Louise Penny	Glass Houses	2017, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
Louise Penny	A Great Reckoning	 Anthony-Award-for-Best-Novel-Winner, 2017	mystery-fiction
John Scalzi	The Collapsing Empire	Locus-Award-for-Best-Science-Fiction2018, Locus-Award-for-Best-Science-Fiction, 2017	science-fiction
Lavie Tidhar	Central Station	Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, 2017, Tachyon Publications, science-fiction	science-fiction
Yaa Gyasi	Homegoing	Fiction, BBC-100-Most-Inspiring-Novels, Novel, 2016, Ghanaian-American, Identity	fiction
Sebastian Barry	Days Without End	Fiction, BBC-100-Most-Inspiring-Novels, Novel, Irish, 2016, Identity	fiction
Charlie Jane Anders	All the Birds in the Sky	Nebula-Award-for-Best-Novel2016, Locus-Award-For-Best-Fantasy-Novel, Locus-Award-for-Best-Fantasy2017, Novel, 2016, Titan Books, Locus-Award-for-Best-Fantasy-Fiction, Nebula-Award-for-Best-Novel, Tor Books, science-fiction	science-fiction
N. K. Jemisin	The Obelisk Gate	Fantasy, Orbit Books, Hugo-Award-for-Best-Novel2017, Novel, Hugo-Award-for-Best-Novel, 2016, World-Fantasy-Award-finalist, Nebula-Award-for-Best-Novel-Finalist, science-fiction	science-fiction
Chris Holm	The Killing Kind	2016, Anthony-Award-for-Best-Novel-Winner	mystery-fiction
Lori Roy	Let Me Die in His Footsteps	2016, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Liu Cixin	Death's End	Locus-Award-for-Best-Science-Fiction, 2016, Locus-Award-for-Best-Science-Fiction2017	science-fiction
Eleanor Lerman	Radiomen	Novel, 2016, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Permanent Press, science-fiction	science-fiction
Naomi Novik	Uprooted	Nebula-Award-for-Best-Novel2015, Fantasy, Locus-Award-For-Best-Fantasy-Novel, Fiction, Locus-Award-for-Best-Fantasy2016, Novel, 2015, World-Fantasy-Award-finalist, Del Rey Books, Locus-Award-for-Best-Fantasy-Fiction, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
N. K. Jemisin	The Fifth Season	Fantasy, Orbit Books, Hugo-Award-for-Best-Novel2016, Novel, 2015, Hugo-Award-for-Best-Novel, World-Fantasy-Award-finalist, Nebula-Award-for-Best-Novel-Finalist, science-fiction	science-fiction
Margaret Maron	Long Upon the Land	2015, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
Stephen King	Mr. Mercedes	2015, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Laura Lippman	After I’m Gone	2015, Anthony-Award-for-Best-Novel-Winner	mystery-fiction
Ann Leckie	Ancillary Mercy	2015, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction2016	science-fiction
Claire North	The First Fifteen Lives of Harry August	Novel, 2015, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Redhook Books, science-fiction	science-fiction
Ali Smith	How to Be Both	Fiction, British, BBC-100-Most-Inspiring-Novels, 2014, Novel, Rule-Breakers	fiction
Jeff VanderMeer	Annihilation	Nebula-Award-for-Best-Novel2014, 2014, Farrar, Straus and Giroux, Novel, FSG Originals, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
Cixin Liu	The Three-Body Problem	Hugo-Award-for-Best-Novel2015, 2014, Hugo-Award-for-Best-Novel, Novel, novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, science fiction, Nebula-Award-for-Best-Novel-Finalist, Tor Books, Chongqing Press (original)Tor Books (translation), science-fiction	science-fiction
Hank Phillippi Ryan	Truth Be Told	2014, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
William Kent Krueger	Ordinary Grace	2014, Edgar-Allen-Poe-Award-for-Best-Novel-Winner, 2013, Edgar-Allen-Poe-Award-for-Best-Novel2014, Anthony-Award-for-Best-Novel-Winner	mystery-fiction
Ann Leckie	Ancillary Sword	2014, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction2015	science-fiction
Katherine Addison	The Goblin Emperor	Locus-Award-for-Best-Fantasy-Fiction, 2014, Locus-Award-for-Best-Fantasy2015	fantasy-fiction
Marcel Theroux	Strange Bodies	2014, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Faber and Faber, science-fiction	science-fiction
Ann Leckie	Ancillary Justice	Orbit Books, Hugo-Award-for-Best-Novel2014, novel, Hugo-Award-for-Best-Novel, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, science-fiction, 2013, Nebula-Award-for-Best-Novel, science fiction	science-fiction
Hank Phillippi Ryan	The Wrong Girl	Agatha-Award-for-Best-Novel-Winner, 2013	mystery-fiction
Dennis Lehane	Live by Night	Edgar-Allen-Poe-Award-for-Best-Novel-Winner, 2013	mystery-fiction
James S. A. Corey	Abaddon's Gate	Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction2014, 2013	science-fiction
Neil Gaiman	The Ocean at the End of the Lane	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2014, 2013	fantasy-fiction
Adam Roberts	Jack Glass: The Story of a Murderer	Novel, science-fiction, 2013, Victor Gollancz Ltd, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel	science-fiction
Louise Penny	The Beautiful Mystery	Agatha-Award-for-Best-Novel-Winner, Anthony-Award-for-Best-Novel-Winner, 2012, 2013	mystery-fiction
Kim Stanley Robinson	2312	Orbit Books, Nebula-Award-for-Best-Novel2012, 2012, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
John Scalzi	Redshirts	Hugo-Award-for-Best-Novel2013, Fiction, Novel, Hugo-Award-for-Best-Novel, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction2013, 2012, Locus-Award-For-Best-Science-Fiction, Tor Books, science-fiction	science-fiction
Mo Hayder	Gone	2012, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Louise Penny	A Trick of the Light	2012, Anthony-Award-for-Best-Novel-Winner	mystery-fiction
Charles Stross	The Apocalypse Codex	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2013, 2012	fantasy-fiction
Christopher Priest	The Islanders	Novel, science-fiction, 2012, Victor Gollancz Ltd, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel	science-fiction
Malorie Blackman	Noughts + Crosses	BBC-100-Most-Inspiring-Novels, British, Fiction, Novel, 2011, Politics-Power-Protest	fiction
Kevin Barry	City of Bohane	Fiction, BBC-100-Most-Inspiring-Novels, Anthony-Award-For-Best-Novel, Novel, Irish, 2011, Adventure	fiction
Craig Thompson	Habibi	Fiction, BBC-100-Most-Inspiring-Novels, Novel, Rule-Breakers, 2011, American	fiction
Jo Walton	Among Others	Hugo-Award-for-Best-Novel2012, Nebula-Award-for-Best-Novel2011, Novel, Hugo-Award-for-Best-Novel, World-Fantasy-Award-finalist, 2011, Nebula-Award-for-Best-Novel, Tor Books, science-fiction	science-fiction
Margaret Maron	Three-Day Town	Agatha-Award-for-Best-Novel-Winner, 2011	mystery-fiction
Steve Hamilton	The Lock Artist	2011, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Louise Penny	Bury Your Dead	Agatha-Award-for-Best-Novel-Winner, 2010, 2011, Anthony-Award-for-Best-Novel-Winner	mystery-fiction
China Miéville	Embassytown	Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction2012, 2011	science-fiction
George R. R. Martin	A Dance with Dragons	Locus-Award-for-Best-Fantasy2012, Locus-Award-for-Best-Fantasy-Fiction, 2011	fantasy-fiction
Ian McDonald	The Dervish House	Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, 2011, Victor Gollancz Ltd, science-fiction	science-fiction
Connie Willis	Blackout/All Clear	Hugo-Award-for-Best-Novel2011, Fiction, Nebula-Award-for-Best-Novel2010, Novel, Locus-Award-for-Best-Science-Fiction2011, Hugo-Award-for-Best-Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, 2010, Nebula-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, Spectra Books, Bantam Spectra, Locus-Award-for-Best-Science-Fiction, science-fiction	science-fiction
John Hart	The Last Child	2010, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Louise Penny	The Brutal Telling	2010, Anthony-Award-for-Best-Novel-Winner	mystery-fiction
China Miéville	Kraken	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2011, 2010	fantasy-fiction
Elif Shafak	The Forty Rules of Love	2009, Fiction, BBC-100-Most-Inspiring-Novels, Novel, Love-Sex-Romance, Turkish	fiction
Paolo Bacigalupi	The Windup Girl	Hugo-Award-for-Best-Novel2010, 2009, Nebula-Award-for-Best-Novel2009, Novel, Hugo-Award-for-Best-Novel, novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, 2010, science fiction, Night Shade Books, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
China Miéville	The City & the City	Hugo-Award-for-Best-Novel2010, 2009, Locus-Award-For-Best-Fantasy-Novel, Fiction, Fantasy, Locus-Award-for-Best-Fantasy2010, Novel, Hugo-Award-for-Best-Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Del Rey Books, Locus-Award-for-Best-Fantasy-Fiction, Nebula-Award-for-Best-Novel-Finalist, Macmillan Publishers, World-Fantasy-Award, science-fiction	science-fiction
Louise Penny	A Brutal Telling	2009, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
C.J. Box	Blue Heaven	2009, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Michael Connelly	The Brass Verdict	2009, Anthony-Award-for-Best-Novel-Winner	mystery-fiction
Cherie Priest	Boneshaker	Locus-Award-for-Best-Science-Fiction2010, Locus-Award-for-Best-Science-Fiction, 2009	science-fiction
Cory Doctorow	Little Brother	2009, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Tor Books, science-fiction	science-fiction
Ursula K. Le Guin	Powers	Nebula-Award-for-Best-Novel2008, 2008, Novel, Nebula-Award-for-Best-Novel, Harcourt, science-fiction	science-fiction
Neil Gaiman	The Graveyard Book	HarperCollins, Fantasy, 2008, Novel, Hugo-Award-for-Best-Novel, Hugo-Award-for-Best-Novel2009, World-Fantasy-Award-finalist, Bloomsbury Press, science-fiction	science-fiction
Louise Penny	The Cruelest Month	Agatha-Award-for-Best-Novel-Winner, 2008	mystery-fiction
John Hart	Down River	2008, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Laura Lippman	What the Dead Know	2008, Anthony-Award-for-Best-Novel-Winner	mystery-fiction
Neal Stephenson	Anathem	Locus-Award-for-Best-Science-Fiction, 2008, Locus-Award-for-Best-Science-Fiction2009	science-fiction
Ursula K. Le Guin	Lavinia	Locus-Award-for-Best-Fantasy-Fiction, 2008, Locus-Award-for-Best-Fantasy2009	fantasy-fiction
Suzanne Collins	The Hunger Games	2008, Fiction, BBC-100-Most-Inspiring-Novels, novel, Novel, American, Adventure, science fiction	fiction
Kathleen Ann Goonan	In War Times	2008, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Tor Books, science-fiction	science-fiction
Mohsin Hamid	The Reluctant Fundamentalist	Fiction, BBC-100-Most-Inspiring-Novels, Novel, Crime-Conflict, 2007, Pakistani	fiction
Khaled Hosseini	A Thousand Splendid Suns	Fiction, BBC-100-Most-Inspiring-Novels, Novel, Afghan-American, 2007, Politics-Power-Protest	fiction
Michael Chabon	The Yiddish Policemen's Union	HarperCollins, Fiction, Locus-Award-for-Best-Science-Fiction2008, Novel, Hugo-Award-for-Best-Novel, Locus-Award-for-Best-Science-Fiction, Hugo-Award-for-Best-Novel2008, 2007, Nebula-Award-for-Best-Novel2007, Nebula-Award-for-Best-Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Locus-Award-For-Best-Science-Fiction, science-fiction	science-fiction
Louise Penny	A Fatal Grace	Agatha-Award-for-Best-Novel-Winner, 2007	mystery-fiction
Jason Goodwin	The Janissary Tree	2007, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Laura Lippman	No Good Deeds	2007, Anthony-Award-for-Best-Novel-Winner	mystery-fiction
Terry Pratchett	Making Money	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2008, 2007	fantasy-fiction
Ben Bova	Titan	Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, 2007, Tor Books, science-fiction	science-fiction
Chimamanda Ngozi Adichie	Half of a Yellow Sun	Fiction, BBC-100-Most-Inspiring-Novels, Nigerian, Novel, 2006, Identity	fiction
Jack McDevitt	Seeker	Ace Books, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel2006, 2006, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
Vernor Vinge	Rainbows End	Fiction, Hugo-Award-for-Best-Novel2007, Novel, Hugo-Award-for-Best-Novel, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction2007, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, 2006, Locus-Award-For-Best-Science-Fiction, Tor Books, science-fiction	science-fiction
Nancy Pickard	The Virgin of Small Plains	Agatha-Award-for-Best-Novel-Winner, 2006	mystery-fiction
Jess Walter	Citizen Vince	2006, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
William Kent Krueger	Mercy Falls	2006, Anthony-Award-for-Best-Novel-Winner	mystery-fiction
Ellen Kushner	The Privilege of the Sword	Locus-Award-for-Best-Fantasy-Fiction, 2006, Locus-Award-for-Best-Fantasy2007	fantasy-fiction
Cormac McCarthy	The Road	Life-Death-Other-Worlds, Fiction, BBC-100-Most-Inspiring-Novels, novel, Novel, 2006, American, Pulitzer Prize for Fiction (2007), science fiction	fiction
Robert J. Sawyer	Mindscan	Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, 2006, Tor Books, science-fiction	science-fiction
Stephenie Meyer	Twilight (series)	BBC-100-Most-Inspiring-Novels, Fiction, Novel, Coming-of-Age, 2005, American	fiction
Kazuo Ishiguro	Never Let Me Go	Fiction, Novel, novel, 2005, Times-All-Time-100-Novels, science fiction	science-fiction
Joe Haldeman	Camouflage	Analog Science Fiction and Fact, Novel, 2005, Nebula-Award-for-Best-Novel2005, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
Robert Charles Wilson	Spin	Hugo-Award-for-Best-Novel2006, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, 2005, Tor Books, science-fiction	science-fiction
Katherine Hall Page	The Body in the Snowdrift	Agatha-Award-for-Best-Novel-Winner, 2005	mystery-fiction
T. Jefferson Parker	California Girl	2005, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
William Kent Krueger	Blood Hollow	 Anthony-Award-for-Best-Novel-Winner, 2005	mystery-fiction
Charles Stross	Accelerando	Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction2006, 2005	science-fiction
Neil Gaiman	Anansi Boys	Locus-Award-for-Best-Fantasy-Fiction, 2005, Locus-Award-for-Best-Fantasy2006	fantasy-fiction
Richard Morgan	Market Forces	Novel, science-fiction, 2005, Victor Gollancz Ltd, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel	science-fiction
Andrea Levy	Small Island	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, 2004, Identity	fiction
Susanna Clarke	Jonathan Strange & Mr Norrell	Fantasy, Hugo-Award-for-Best-Novel2005, Novel, Hugo-Award-for-Best-Novel, 2004, Bloomsbury Publishing, Bloomsbury Press, Nebula-Award-for-Best-Novel-Finalist, World-Fantasy-Award, science-fiction	science-fiction
Jacqueline Winspear	Birds of a Feather	Agatha-Award-for-Best-Novel-Winner, 2004	mystery-fiction
Ian Rankin	Resurrection Men	Edgar-Allen-Poe-Award-for-Best-Novel-Winner, 2004	mystery-fiction
Laura Lippman	Every Secret Thing	 Anthony-Award-for-Best-Novel-Winner, 2004	mystery-fiction
Neal Stephenson	The Baroque Cycle (i.e. Quicksilver; The Confusion; The System of the World)	Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction2005, 2004	science-fiction
China Miéville	Iron Council	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy2005, 2004	fantasy-fiction
Marilynne Robinson	Gilead	Life-Death-Other-Worlds, Fiction, BBC-100-Most-Inspiring-Novels, Novel, 2004, American, Pulitzer Prize for Fiction (2005)	fiction
Jack McDevitt	Omega	Ace Books, Novel, science-fiction, 2004, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel	science-fiction
Elizabeth Moon	The Speed of Dark	Ballantine Books, Nebula-Award-for-Best-Novel2003, 2003, Novel, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
Lois McMaster Bujold	Paladin of Souls	Locus-Award-For-Best-Fantasy-Novel, Fiction, Locus-Award-for-Best-Fantasy2004, Hugo-Award-for-Best-Novel2004, 2003, Hugo-Award-for-Best-Novel, Novel, Nebula-Award-for-Best-Novel2004, Eos, Locus-Award-for-Best-Fantasy-Fiction, Nebula-Award-for-Best-Novel, science-fiction	science-fiction
Carolyn Hart	Letter from Home	2003, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
S.J. Rozan	Winter and Night	2003, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Michael Connelly	City of Bones	2003,  Anthony-Award-for-Best-Novel-Winner	mystery-fiction
Dan Simmons	Ilium	2003, Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction2004	science-fiction
Margaret Atwood	Oryx and Crake	Canadian, Fiction, BBC-100-Most-Inspiring-Novels, 2003, Coming-of-Age, Novel, novel, science fiction	fiction
Nancy Kress	Probability Space	2003, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Tor Books, science-fiction	science-fiction
Carol Shields	Unless	Canadian, Fiction, BBC-100-Most-Inspiring-Novels, Novel, 2002, Politics-Power-Protest	fiction
Robert J. Sawyer	Hominids	Hugo-Award-for-Best-Novel2003, Analog Science Fiction and Fact, Novel, 2002, Hugo-Award-for-Best-Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Tor Books, science-fiction	science-fiction
Donna Andrews	You’ve Got Murder	2002, Agatha-Award-for-Best-Novel-Winner	mystery-fiction
T. Jefferson Parker	Silent Joe	2002, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Dennis Lehane	Mystic River	2002,  Anthony-Award-for-Best-Novel-Winner	mystery-fiction
Kim Stanley Robinson	The Years of Rice and Salt	Locus-Award-for-Best-Science-Fiction, 2002, Locus-Award-for-Best-Science-Fiction2003	science-fiction
China Miéville	The Scar	Locus-Award-for-Best-Fantasy-Fiction, 2002, Locus-Award-for-Best-Fantasy2003	fantasy-fiction
Robert Charles Wilson	The Chronoliths	Novel, 2002, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Tor Books, science-fiction	science-fiction
Jonathan Franzen	The Corrections	Novel, 2001, Fiction, Times-All-Time-100-Novels	2001, National Book Award for Fiction (2001)
Ian McEwan	Atonement	Novel, 2001, Fiction, Times-All-Time-100-Novels	2001, National Book Critics Circle Award
Catherine Asaro	The Quantum Rose	Novel, Nebula-Award-for-Best-Novel2001, 2001, Nebula-Award-for-Best-Novel, Tor Books, science-fiction	science-fiction
Neil Gaiman	American Gods	Hugo-Award-for-Best-Novel2002, Locus-Award-For-Best-Fantasy-Novel, Locus-Award-for-Best-Fantasy2002, Novel, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel2001, 2001, William Morrow and Company, Locus-Award-for-Best-Fantasy-Fiction, Nebula-Award-for-Best-Novel, World-Fantasy-Award, science-fiction	science-fiction
