Author	Title	Tags	Directory
Philip José Farmer	To Your Scattered Bodies Go	1971, Hugo-Award-for-Best-Novel, Putnam Publishing Group, science-fiction, science fiction, novel, Novel, Hugo-Award-for-Best-Novel1972	science-fiction
Isaac Asimov	The Gods Themselves	1972, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1972, Nebula-Award-for-Best-Novel, science-fiction, science fiction, novel, Novel, Galaxy Science Fiction, Hugo-Award-for-Best-Novel1973	science-fiction
Arthur C. Clarke	Rendezvous with Rama	1973, Nebula-Award-for-Best-Novel1973, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Harcourt Brace Jovanovich, science-fiction, science fiction, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Novel, novel, Galaxy Science Fiction, Hugo-Award-for-Best-Novel1974	science-fiction
Ursula K. Le Guin	The Dispossessed	1974, Nebula-Award-for-Best-Novel1974, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, science-fiction, science fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Harper, novel, Novel, Row, Hugo-Award-for-Best-Novel1975	science-fiction
Joe Haldeman	The Forever War	1975, St. Martin's Press, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1975, science-fiction, science fiction, novel, Novel, Hugo-Award-for-Best-Novel1976	science-fiction
Kate Wilhelm	Where Late the Sweet Birds Sang	1976, Hugo-Award-for-Best-Novel, science-fiction, science fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel-Finalist, novel, Novel, Harper, Row, Hugo-Award-for-Best-Novel1977	science-fiction
Frederik Pohl	Gateway	1977, Nebula-Award-for-Best-Novel1977, St. Martin's Press, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, science-fiction, science fiction, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, novel, Novel, Galaxy Science Fiction, Hugo-Award-for-Best-Novel1978	science-fiction
Vonda N. McIntyre	Dreamsnake	Nebula-Award-for-Best-Novel1978, Nebula-Award-for-Best-Novel, Hugo-Award-for-Best-Novel1979, science-fiction, science fiction, Novel, novel, 1978, Houghton Mifflin	science-fiction
Arthur C. Clarke	The Fountains of Paradise	Nebula-Award-for-Best-Novel1979, Hugo-Award-for-Best-Novel1980, 1979, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Harcourt Brace Jovanovich, science-fiction, Novel, Victor Gollancz Ltd	science-fiction
Joan D. Vinge	The Snow Queen	1980, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, Dial Press, science-fiction, science fiction, Nebula-Award-for-Best-Novel-Finalist, Novel, novel, Fiction, Hugo-Award-for-Best-Novel1981	science-fiction
C. J. Cherryh	Downbelow Station	1981, Hugo-Award-for-Best-Novel, science-fiction, science fiction, novel, Novel, DAW Books, Hugo-Award-for-Best-Novel1982	science-fiction
Isaac Asimov	Foundation's Edge	1982, Hugo-Award-for-Best-Novel1983, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, Nebula-Award-for-Best-Novel-Finalist, Novel, Fiction, Doubleday	science-fiction
David Brin	Startide Rising	1983, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1983, Nebula-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, Bantam Books, science fiction, novel, Novel, Fiction, Hugo-Award-for-Best-Novel1984	science-fiction
William Gibson	Neuromancer	1984, Nebula-Award-for-Best-Novel1984, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, science-fiction, science fiction, Nebula Award (1985), John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Hugo Award (1985), Ace Books, novel, Novel, Fiction, Times-All-Time-100-Novels, Philip K. Dick Award (1984), Hugo-Award-for-Best-Novel1985	science-fiction
Orson Scott Card	Ender's Game	1985, Nebula-Award-for-Best-Novel1985, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, science-fiction, science fiction, Novel, novel, Tor Books, Hugo-Award-for-Best-Novel1986	science-fiction
Orson Scott Card	Speaker for the Dead	Nebula-Award-for-Best-Novel1986, 1986, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, science fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, novel, Novel, Tor Books, Fiction, Hugo-Award-for-Best-Novel1987	science-fiction
David Brin	The Uplift War	1987, Hugo-Award-for-Best-Novel1988, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, Nebula-Award-for-Best-Novel-Finalist, Novel, Fiction, Bantam Spectra	science-fiction
C. J. Cherryh	Cyteen	1988, Hugo-Award-for-Best-Novel, Warner Books, Locus-Award-For-Best-Science-Fiction, science-fiction, science fiction, novel, Novel, Fiction, Hugo-Award-for-Best-Novel1989	science-fiction
Dan Simmons	Hyperion	1989, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, science fiction, novel, Novel, Fiction, Doubleday, Hugo-Award-for-Best-Novel1990	science-fiction
Lois McMaster Bujold	The Vor Game	1991, Hugo-Award-for-Best-Novel1991, Hugo-Award-for-Best-Novel, Baen Books, Novel, science-fiction	science-fiction
Lois McMaster Bujold	Barrayar	1991, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, science fiction, Nebula-Award-for-Best-Novel-Finalist, Novel, novel, Fiction, Analog Science Fact, Hugo-Award-for-Best-Novel1992	science-fiction
Connie Willis	Doomsday Book	1992, Nebula-Award-for-Best-Novel1992, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, science fiction, novel, Novel, Fiction, Bantam Spectra, Hugo-Award-for-Best-Novel1993	science-fiction
Vernor Vinge	A Fire Upon the Deep	1992, Hugo-Award-for-Best-Novel, science-fiction, science fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel-Finalist, Novel, novel, Tor Books, Hugo-Award-for-Best-Novel1993	science-fiction
Roger Zelazny	A Night in the Lonesome October	1993, science-fiction, Nebula-Award-for-Best-Novel-Finalist, Novel, Nebula-Award-for-Best-Novel-Finalist1995, goodreads-4.16, Morrow AvoNova, Hugo-Award-for-Best-Novel1993	science-fiction
Kim Stanley Robinson	Green Mars	1993, Hugo-Award-for-Best-Novel1993, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, HarperCollins, Nebula-Award-for-Best-Novel-Finalist, Novel, Fiction, Bantam Spectra	science-fiction
Lois McMaster Bujold	Mirror Dance	1994, Hugo-Award-for-Best-Novel1995, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, Novel, Baen Books, Fiction	science-fiction
Neal Stephenson	The Diamond Age	1995, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, science fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel-Finalist, novel, Novel, Fiction, Bantam Spectra, Hugo-Award-for-Best-Novel1996	science-fiction
Kim Stanley Robinson	Blue Mars	1996, Hugo-Award-for-Best-Novel1996, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Novel, Fiction, HarperCollins Voyager	science-fiction
Isaac Asimov	The Mule	1953, Hugo-Award-for-Best-Novel1997, Hugo-Award-for-Best-Novel, Retro-Hugos1996, Retro-Hugos, science-fiction, Novel, Astounding Science-Fiction	science-fiction
Joe Haldeman	Forever Peace	1997, Hugo-Award-for-Best-Novel1998, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1998, science-fiction, Ace Books, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Novel	science-fiction
Connie Willis	To Say Nothing of the Dog	1998, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, science fiction, Nebula-Award-for-Best-Novel-Finalist, novel, Novel, Fiction, Bantam Spectra, Hugo-Award-for-Best-Novel1999	science-fiction
Vernor Vinge	A Deepness in the Sky	1999, Hugo-Award-for-Best-Novel, science-fiction, science fiction, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Nebula-Award-for-Best-Novel-Finalist, novel, Novel, Tor Books, Hugo-Award-for-Best-Novel2000	science-fiction
J. K. Rowling	Harry Potter and the Goblet of Fire	2000, Hugo-Award-for-Best-Novel, Bloomsbury Publishing, Novel, Hugo-Award-for-Best-Novel2001, science-fiction	science-fiction
Robert A. Heinlein	Farmer in the Sky	1951, Hugo-Award-for-Best-Novel2002, Hugo-Award-for-Best-Novel, Retro-Hugos2001, Retro-Hugos, science-fiction, Novel, Boys' Life	science-fiction
Neil Gaiman	American Gods	2001, Nebula-Award-for-Best-Novel2001, Hugo-Award-for-Best-Novel2002, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, World-Fantasy-Award, science-fiction, Novel, William Morrow and Company, Locus-Award-For-Best-Fantasy-Novel	science-fiction
Robert J. Sawyer	Hominids	2002, Hugo-Award-for-Best-Novel2003, Hugo-Award-for-Best-Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, science-fiction, Novel, Tor Books, Analog Science Fiction and Fact	science-fiction
Ray Bradbury	Fahrenheit 452	"1954, Hugo-Award-for-Best-Novel, Retro-Hugos2004, Retro-Hugos, science fiction, science-fiction, American Academy of Arts and Letters Award in Literature, the Commonwealth Club of California Gold Medal, Prometheus ""Hall of Fame"" Award (1984), Novel, Ballantine Books, Hugo-Award-for-Best-Novel2004"	science-fiction
Lois McMaster Bujold	Paladin of Souls	2003, Nebula-Award-for-Best-Novel2004, Hugo-Award-for-Best-Novel2004, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Eos, science-fiction, Novel, Fiction, Locus-Award-For-Best-Fantasy-Novel	science-fiction
Susanna Clarke	Jonathan Strange & Mr Norrell	2004, Hugo-Award-for-Best-Novel2005, Hugo-Award-for-Best-Novel, World-Fantasy-Award, science-fiction, Fantasy, Nebula-Award-for-Best-Novel-Finalist, Novel, Bloomsbury Press, Bloomsbury Publishing	science-fiction
Robert Charles Wilson	Spin	2005, Hugo-Award-for-Best-Novel2006, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, science-fiction, Novel, Tor Books	science-fiction
Vernor Vinge	Rainbows End	2006, Hugo-Award-for-Best-Novel2007, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Novel, Tor Books, Fiction	science-fiction
Michael Chabon	The Yiddish Policemen's Union	Nebula-Award-for-Best-Novel2007, 2007, Hugo-Award-for-Best-Novel2008, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, HarperCollins, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Novel, Fiction	science-fiction
Neil Gaiman	The Graveyard Book	2008, Hugo-Award-for-Best-Novel2009, Hugo-Award-for-Best-Novel, science-fiction, HarperCollins, Fantasy, Novel, Bloomsbury Press, World-Fantasy-Award-finalist	science-fiction
Paolo Bacigalupi	The Windup Girl	Nebula-Award-for-Best-Novel2009, 2009, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, science-fiction, science fiction, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Novel, novel, Night Shade Books, Hugo-Award-for-Best-Novel2010	science-fiction
China Miéville	The City & the City	2009, Hugo-Award-for-Best-Novel2010, Hugo-Award-for-Best-Novel, World-Fantasy-Award, science-fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Fantasy, Nebula-Award-for-Best-Novel-Finalist, Novel, Macmillan Publishers, Fiction, Del Rey Books, Locus-Award-For-Best-Fantasy-Novel	science-fiction
Connie Willis	Blackout/All Clear	2010, Hugo-Award-for-Best-Novel2011, Nebula-Award-for-Best-Novel2010, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Spectra Books, Novel, Fiction, Bantam Spectra	science-fiction
Jo Walton	Among Others	2011, Nebula-Award-for-Best-Novel2011, Hugo-Award-for-Best-Novel2012, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel2011, Nebula-Award-for-Best-Novel, science-fiction, Novel, Tor Books, World-Fantasy-Award-finalist	science-fiction
John Scalzi	Redshirts	2012, Hugo-Award-for-Best-Novel2013, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, Novel, Tor Books, Fiction	science-fiction
Ann Leckie	Ancillary Justice	2013, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, science-fiction, science fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, novel, Orbit Books, Novel, Hugo-Award-for-Best-Novel2014	science-fiction
T. H. White	The Sword in the Stone	1938, Time's 100 Best Young-Adult Books, Hugo-Award-for-Best-Novel2014, Hugo-Award-for-Best-Novel, Retro-Hugos, science-fiction, Novel, United Kingdom	science-fiction
Cixin Liu	The Three-Body Problem	2014, Hugo-Award-for-Best-Novel, Chongqing Press (original)Tor Books (translation), science fiction, science-fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel-Finalist, Novel, novel, Tor Books, Hugo-Award-for-Best-Novel2015	science-fiction
A. E. van Vogt	Slan	1940, 1940-1946, Hugo-Award-for-Best-Novel, Retro-Hugos, science-fiction, science fiction, novel, Novel, Astounding Science Fiction, Hugo-Award-for-Best-Novel2016	science-fiction
N. K. Jemisin	The Fifth Season	2015, Hugo-Award-for-Best-Novel2016, Hugo-Award-for-Best-Novel, science-fiction, Fantasy, Nebula-Award-for-Best-Novel-Finalist, Orbit Books, Novel, World-Fantasy-Award-finalist	science-fiction
N. K. Jemisin	The Obelisk Gate	2016, Hugo-Award-for-Best-Novel2017, Hugo-Award-for-Best-Novel, science-fiction, Fantasy, Nebula-Award-for-Best-Novel-Finalist, Orbit Books, Novel, World-Fantasy-Award-finalist	science-fiction
Robert A. Heinlein	Beyond This Horizon	1942, 1942-1948, Hugo-Award-for-Best-Novel2018, Hugo-Award-for-Best-Novel, Retro-Hugos, Retro-Hugos2018, science-fiction, Novel, Astounding Science Fiction	science-fiction
N. K. Jemisin	The Stone Sky	Nebula-Award-for-Best-Novel2017, 2017, Hugo-Award-for-Best-Novel2018, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, science-fiction, Novel, Orbit Books, Fiction, Locus-Award-For-Best-Fantasy-Novel	science-fiction
Fritz Leiber	Conjure Wife	1943, Hugo-Award-for-Best-Novel2019, Hugo-Award-for-Best-Novel, Unknown Worlds, 2019Retro-Hugos, Retro-Hugos, science-fiction, Novel	science-fiction
Mary Robinette Kowal	The Calculating Stars	2018, Nebula-Award-for-Best-Novel2018, Hugo-Award-for-Best-Novel2019, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Novel, Tor Books, Fiction	science-fiction
Leigh Brackett	Shadow Over Mars (The Nemesis from Terra)	1944, 1944-1961, Hugo-Award-for-Best-Novel2020, Hugo-Award-for-Best-Novel, Retro-Hugos2020, Retro-Hugos, science-fiction, Startling Stories, Novel	science-fiction
Arkady Martine	A Memory Called Empire	2019, Hugo-Award-for-Best-Novel2020, Hugo-Award-for-Best-Novel, science-fiction, Nebula-Award-for-Best-Novel-Finalist, Novel, Tor Books	science-fiction
Martha Wells	Network Effect	Nebula-Award-for-Best-Novel2020, 2020, Hugo-Award-for-Best-Novel2021, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, Novel, Fiction, Tor.com Publishing	science-fiction
Arkady Martine	A Desolation Called Peace	2021, Hugo-Award-for-Best-Novel2022, Hugo-Award-for-Best-Novel, Locus-Award-For-Best-Science-Fiction, science-fiction, Nebula-Award-for-Best-Novel-Finalist, Novel, Tor Books, Fiction, Tor.com Publishing	science-fiction
Ursula Vernon	Nettle & Bone	2022, Hugo-Award-for-Best-Novel2023, Tor Books, Hugo-Award-for-Best-Novel, Novel, science-fiction	science-fiction
Emily Tesh	Some Desperate Glory	2023, Hugo-Award-for-Best-Novel2024, Tordotcom/Orbit Books, Hugo-Award-for-Best-Novel, Novel, science-fiction	science-fiction
