Author	Title	Tags	Directory
Stuart M. Kaminsky	A Cold Red Sunrise	1989, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
James Lee Burke	Black Cherry Blues	1990, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Julie Smith	New Orleans Mourning	1991, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Lawrence Block	A Dance at the Slaughterhouse	1992, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Margaret Maron	Bootlegger’s Daughter	1993, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Minette Walters	The Sculptress	1994, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Mary Willis Walker	The Red Scream	1995, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Dick Francis	Come to Grief	1996, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Thomas H. Cook	The Chatham School Affair	1997, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
James Lee Burke	Cimarron Rose	1998, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Robert Clark	Mr. White’s Confession	1999, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Jan Burke	Bones	2000, Edgar-Allen-Poe-Award-for-Best-Novel-Winner) 	mystery-novel
Joe R. Lansdale	The Bottoms	2001, Edgar-Allen-Poe-Award-for-Best-Novel-Winner, Edgar-Allen-Poe-Award-for-Best-Novel2011	mystery-novel
T. Jefferson Parker	Silent Joe	2002, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
S.J. Rozan	Winter and Night	2003, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Ian Rankin	Resurrection Men	2004, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
T. Jefferson Parker	California Girl	2005, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Jess Walter	Citizen Vince	2006, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Jason Goodwin	The Janissary Tree	2007, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
John Hart	Down River	2008, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
C.J. Box	Blue Heaven	2009, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
John Hart	The Last Child	2010, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Steve Hamilton	The Lock Artist	2011, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Mo Hayder	Gone	2012, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
William Kent Krueger	Ordinary Grace	2013, Edgar-Allen-Poe-Award-for-Best-Novel2014,Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Dennis Lehane	Live by Night	2013, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Stephen King	Mr. Mercedes	2015, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Lori Roy	Let Me Die in His Footsteps	2016, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Noah Hawley	Before the Fall	2017, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Attica Locke	Bluebird, Bluebird	2018, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Elly Griffiths	The Stranger Diaries	2020, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Deepa Anappara	Djinn Patrol on the Purple Line	2021, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
James Kestrel	Five Decembers	2022, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
Danya Kukafka	Notes on an Execution	2023, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
James Lee Burke	Flags on the Bayou	2024, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-novel
