Author	Title	Tags	Directory
Fritz Leiber	Conjure Wife	Hugo-Award-for-Best-Novel, Retro-Hugos, Novel, Unknown Worlds, science-fiction	science-fiction
Fritz Leiber	Our Lady of Darkness	Berkley Books, World-Fantasy-Award, Novel, Fantasy	fantasy
Fritz Leiber	Catch That Zeppelin!	Hugo-Award-for-Best-Short-Story, Science Fiction, The Magazine of Fantasy, Short-Story, Nebula-Award-for-Best-Short-Story, science-fiction	science-fiction
Fritz Leiber	Coming Attraction	short-story, 1950, science fiction	science-fiction
Lois McMaster Bujold	The Vor Game	Baen Books, Hugo-Award-for-Best-Novel, Novel, science-fiction	science-fiction
Lois McMaster Bujold	Paladin of Souls	Locus-Award-For-Best-Fantasy-Novel, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Novel, Eos, Fiction, science-fiction	science-fiction
Lois McMaster Bujold	Mirror Dance	Locus-Award-For-Best-Science-Fiction, Baen Books, Hugo-Award-for-Best-Novel, Novel, Fiction, science-fiction	science-fiction
Lois McMaster Bujold	Barrayar	1991, Locus-Award-For-Best-Science-Fiction, Nebula-Award-for-Best-Novel-Finalist, Hugo-Award-for-Best-Novel, Novel, science fiction, novel, Fiction, Analog Science Fact, science-fiction	science-fiction
Lois McMaster Bujold	Falling Free	Nebula-Award-for-Best-Novel, Novel, Fiction, Analog Science Fact, science-fiction	science-fiction
Lois McMaster Bujold	Memory	Baen Books, Nebula-Award-for-Best-Novel-Finalist, Novel, science-fiction	science-fiction
Lois McMaster Bujold	A Civil Campaign	Baen Books, Nebula-Award-for-Best-Novel-Finalist, Novel, science-fiction	science-fiction
Lois McMaster Bujold	Diplomatic Immunity	Baen Books, Nebula-Award-for-Best-Novel-Finalist, Novel, science-fiction	science-fiction
Lois McMaster Bujold	The Curse of Chalion	World-Fantasy-Award-finalist, Eos, Fantasy	fantasy
Lois McMaster Bujold	The Mountains of Mourning	short-story, 1989, science fiction	science-fiction
David Brin	The Uplift War	Locus-Award-For-Best-Science-Fiction, Nebula-Award-for-Best-Novel-Finalist, Bantam Spectra, Hugo-Award-for-Best-Novel, Novel, Fiction, science-fiction	science-fiction
David Brin	Startide Rising	Locus-Award-For-Best-Science-Fiction, 1983, Bantam Books, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Novel, science fiction, novel, Fiction, science-fiction	science-fiction
David Brin	The Postman	Locus-Award-For-Best-Science-Fiction, Nebula-Award-for-Best-Novel-Finalist, Bantam Spectra, 1985, Novel, science fiction, novel, Fiction, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, science-fiction	science-fiction
David Brin	Kiln People	John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, science-fiction, Novel, Tor Books	science-fiction
David Brin	Existence	John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, science-fiction, Novel, Tor Books	science-fiction
David Brin	The Crystal Spheres	Hugo-Award-for-Best-Short-Story, Fiction, Analog Science Fact, Short-Story, science-fiction	science-fiction
Cixin Liu	The Three-Body Problem	John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel-Finalist, Hugo-Award-for-Best-Novel, Chongqing Press (original)Tor Books (translation), Novel, science fiction, novel, 2014, Tor Books, science-fiction	science-fiction
T. H. White	The Sword in the Stone	Sons, Hugo-Award-for-Best-Novel, Retro-Hugos, Novel, William Collins, science-fiction	science-fiction
N. K. Jemisin	The Stone Sky	Locus-Award-For-Best-Fantasy-Novel, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Novel, Orbit Books, Fiction, science-fiction	science-fiction
N. K. Jemisin	The Obelisk Gate	Nebula-Award-for-Best-Novel-Finalist, Hugo-Award-for-Best-Novel, Novel, World-Fantasy-Award-finalist, Orbit Books, Fantasy, science-fiction	science-fiction
N. K. Jemisin	The Fifth Season	Nebula-Award-for-Best-Novel-Finalist, Hugo-Award-for-Best-Novel, Novel, World-Fantasy-Award-finalist, Orbit Books, Fantasy, science-fiction	science-fiction
N. K. Jemisin	The Hundred Thousand Kingdoms	Nebula-Award-for-Best-Novel-Finalist, Novel, World-Fantasy-Award-finalist, Orbit Books, Fantasy, science-fiction	science-fiction
N. K. Jemisin	The Kingdom of Gods	Nebula-Award-for-Best-Novel-Finalist, Novel, science-fiction, Orbit Books	science-fiction
N. K. Jemisin	The Killing Moon	Nebula-Award-for-Best-Novel-Finalist, Novel, World-Fantasy-Award-finalist, Orbit Books, Fantasy, science-fiction	science-fiction
N. K. Jemisin	The City We Became	Locus-Award-For-Best-Fantasy-Novel, Nebula-Award-for-Best-Novel-Finalist, Novel, Orbit Books, Fiction, science-fiction	science-fiction
Joan D. Vinge	The Snow Queen	Locus-Award-For-Best-Science-Fiction, Dial Press, 1980, Nebula-Award-for-Best-Novel-Finalist, Hugo-Award-for-Best-Novel, Novel, science fiction, novel, Fiction, science-fiction	science-fiction
Isaac Asimov	The Mule	Astounding Science-Fiction, Hugo-Award-for-Best-Novel, Retro-Hugos, Novel, science-fiction	science-fiction
Isaac Asimov	The Gods Themselves	Hugo-Award-for-Best-Novel, Galaxy Science Fiction, Nebula-Award-for-Best-Novel, Novel, science fiction, novel, 1972, science-fiction	science-fiction
Isaac Asimov	Foundation's Edge	Locus-Award-For-Best-Science-Fiction, Nebula-Award-for-Best-Novel-Finalist, Hugo-Award-for-Best-Novel, Doubleday, Novel, Fiction, science-fiction	science-fiction
Isaac Asimov	The Casebook Of The Black Widowers	mystery fiction, novel	mystery-fiction
Isaac Asimov	Tales of the Black Widowers	mystery fiction, novel	mystery-fiction
Isaac Asimov	I, Robot	novel, science fiction	science-fiction
Isaac Asimov	The Caves of Steel	1954, novel, science fiction	science-fiction
Isaac Asimov	The Foundation Trilogy	1951-53, novel, science fiction	science-fiction
Isaac Asimov	The Last Question	short-story, 1956, science fiction	science-fiction
Isaac Asimov	The Bicentennial Man	short-story, 1976, science fiction	science-fiction
Isaac Asimov	Robbie	Hugo-Award-for-Best-Short-Story, Super Science Stories, science-fiction, Short-Story	science-fiction
Isaac Asimov	More Tales of the Black Widowers	mystery fiction, novel, short-story collections, 1974	mystery-fiction
Robert A. Heinlein	The Moon Is a Harsh Mistressd	Hugo-Award-for-Best-Novel, If, Novel, science-fiction	science-fiction
Robert A. Heinlein	Beyond This Horizon	Astounding Science Fiction, Hugo-Award-for-Best-Novel, Retro-Hugos, Novel, science-fiction	science-fiction
Robert A. Heinlein	Stranger in a Strange Land	Putnam Publishing Group, Hugo-Award-for-Best-Novel, 1961, Novel, science fiction, novel, science-fiction	science-fiction
Robert A. Heinlein	Starship Troopers	Hugo-Award-for-Best-Novel, Novel, science fiction, Science Fiction, novel, The Magazine of Fantasy, 1959, science-fiction	science-fiction
Robert A. Heinlein	Farmer in the Sky	Hugo-Award-for-Best-Novel, Boys' Life, Retro-Hugos, Novel, science-fiction	science-fiction
Robert A. Heinlein	Double Star	Astounding Science-Fiction, Hugo-Award-for-Best-Novel, Novel, science fiction, novel, 1956, science-fiction	science-fiction
Robert A. Heinlein	The Moon Is a Harsh Mistress	Putnam Publishing Group, Nebula-Award-for-Best-Novel-Finalist, Novel, science-fiction	science-fiction
Robert A. Heinlein	Time Enough for Love	Putnam Publishing Group, Nebula-Award-for-Best-Novel-Finalist, Novel, science-fiction	science-fiction
Robert A. Heinlein	Friday	Nebula-Award-for-Best-Novel-Finalist, Holt, Novel, Winston, science-fiction, Rinehart	science-fiction
Robert A. Heinlein	Job: A Comedy of Justice	Locus-Award-For-Best-Fantasy-Novel, Nebula-Award-for-Best-Novel-Finalist, Novel, Fiction, science-fiction, Del Rey Books	science-fiction
Robert A. Heinlein	The Moon is a Harsh Mistress	1966, novel, science fiction	science-fiction
Robert A. Heinlein	By His Bootstraps	short-story, science fiction, 1941	science-fiction
Robert A. Heinlein	All You Zombies	short-story, 1959, science fiction	science-fiction
Philip K. Dick	The Man in the High Castle	Putnam Publishing Group, Hugo-Award-for-Best-Novel, Novel, 1962, science fiction, novel, science-fiction	science-fiction
Philip K. Dick	Dr. Bloodmoney, or How We Got Along After the Bomb	science-fiction, Nebula-Award-for-Best-Novel-Finalist, Ace Books, Novel	science-fiction
Philip K. Dick	The Three Stigmata of Palmer Eldritch	Nebula-Award-for-Best-Novel-Finalist, Doubleday, Novel, science-fiction	science-fiction
Philip K. Dick	Do Androids Dream of Electric Sheep?	Nebula-Award-for-Best-Novel-Finalist, 1968, Doubleday, Novel, science fiction, novel, science-fiction	science-fiction
Philip K. Dick	Flow My Tears, the Policeman Said	Nebula-Award-for-Best-Novel-Finalist, Doubleday, Novel, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, science-fiction	science-fiction
Philip K. Dick	The Transmigration of Timothy Archer	Timescape Books, Nebula-Award-for-Best-Novel-Finalist, Novel, science-fiction	science-fiction
Philip K. Dick	A Scanner Darkly	John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Doubleday, Novel, science fiction, novel, 1977, science-fiction	science-fiction
Philip K. Dick	Ubik	1969, science fiction, novel	science-fiction
Philip K. Dick	We Can Remember It for You Wholesale	1966, short-story, science fiction	science-fiction
Philip K. Dick	Second Variety	short-story, science fiction, 1953	science-fiction
Ursula K. Le Guin	The Left Hand of Darkness	1969, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Novel, science fiction, novel, Ace Books, science-fiction	science-fiction
Ursula K. Le Guin	The Dispossessed	John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Hugo-Award-for-Best-Novel, Row, Nebula-Award-for-Best-Novel, Novel, science fiction, novel, 1974, Harper, science-fiction	science-fiction
Ursula K. Le Guin	Powers	Harcourt, Nebula-Award-for-Best-Novel, Novel, science-fiction	science-fiction
Ursula K. Le Guin	Tehanu: The Last Book of Earthsea	Locus-Award-For-Best-Fantasy-Novel, Nebula-Award-for-Best-Novel, Novel, Fiction, Macmillan Publishers, science-fiction	science-fiction
Ursula K. Le Guin	The Lathe of Heaven	Nebula-Award-for-Best-Novel-Finalist, Amazing Stories, Novel, science fiction, novel, 1971, science-fiction	science-fiction
Ursula K. Le Guin	The Other Wind	Harcourt, Nebula-Award-for-Best-Novel-Finalist, Novel, Fantasy, World-Fantasy-Award, science-fiction	science-fiction
Ursula K. Le Guin	Earthsea (trilogy)	BBC-100-Most-Inspiring-Novels, American, Life,-Death-Other-Worlds, Novel, Fiction	fiction
Ursula K. Le Guin	Lavinia	Fiction, Locus-Award-For-Best-Fantasy-Novel, Novel	fiction
Ursula K. Le Guin	The Day Before the Revolution	Galaxy Science Fiction, science fiction, Short-Story, 1974, short-story, Nebula-Award-for-Best-Short-Story, science-fiction	science-fiction
Ursula K. Le Guin	Vaster Than Empires and More Slow	1971, short-story, science fiction	science-fiction
Ursula K. Le Guin	Forgiveness Day	1994, Asimov's Science Fiction, science-fiction, Short-Story, short-story, Theodore Sturgeon Award, science fiction	science-fiction
Ursula K. Le Guin	Nine Lives	short-story, 1969, science fiction	science-fiction
Ursula K. Le Guin	The Ones Who Walk Away from Omelas	Short-Story, Hugo-Award-for-Best-Short-Story, science-fiction, New Dimensions #3 (Doubleday)	science-fiction
Ursula K. Le Guin	The Telling	Locus-Award-For-Best-Science-Fiction, Fiction, Novel	fiction
Neil Gaiman	The Graveyard Book	Hugo-Award-for-Best-Novel, Novel, World-Fantasy-Award-finalist, Fantasy, HarperCollins, Bloomsbury Press, science-fiction	science-fiction
Neil Gaiman	American Gods	William Morrow and Company, Locus-Award-For-Best-Fantasy-Novel, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Novel, World-Fantasy-Award, science-fiction	science-fiction
Neil Gaiman	The Ocean at the End of the Lane	William Morrow and Company, Locus-Award-For-Best-Fantasy-Novel, Nebula-Award-for-Best-Novel-Finalist, Novel, World-Fantasy-Award-finalist, Fantasy, Fiction, science-fiction	science-fiction
Neil Gaiman	Anansi Boys	Fiction, Locus-Award-For-Best-Fantasy-Novel, Novel	fiction
Neil Gaiman	The Sandman	BBC-100-Most-Inspiring-Novels, Life,-Death-Other-Worlds, Novel, Fiction, British	fiction
Neil Gaiman	A Study in Emerald	Shadows Over Baker Street (Del Rey Books), science-fiction, Hugo-Award-for-Best-Short-Story, Short-Story	science-fiction
Arthur C. Clarke	The Fountains of Paradise	Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Novel, Victor Gollancz Ltd, Harcourt Brace Jovanovich, science-fiction	science-fiction
Arthur C. Clarke	Rendezvous with Rama	Hugo-Award-for-Best-Novel, Galaxy Science Fiction, Nebula-Award-for-Best-Novel, Novel, science fiction, novel, 1973, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Harcourt Brace Jovanovich, science-fiction	science-fiction
Arthur C. Clarke	2001: A Space Odyssey	1968, novel, science fiction	science-fiction
Arthur C. Clarke	The City and the Stars	1956, novel, science fiction	science-fiction
Arthur C. Clarke	Childhood's End	science fiction, 1953, novel	science-fiction
Arthur C. Clarke	A Meeting with Medusa	1971, short-story, science fiction	science-fiction
Arthur C. Clarke	The Sentinel	short-story, 1951, science fiction	science-fiction
Arthur C. Clarke	The Nine Billion Names of God	Star Science Fiction Stories #1 (Ballantine Books), Hugo-Award-for-Best-Short-Story, science-fiction, Short-Story, short-story, 1953, science fiction	science-fiction
Arthur C. Clarke	The Star	Hugo-Award-for-Best-Short-Story, science-fiction, Short-Story, Infinity Science Fiction	science-fiction
Arthur C. Clarke	How We Went to Mars	Short-Story, Hugo-Award-for-Best-Short-Story, science-fiction, Amateur Science Stories	science-fiction
Joe Haldeman	The Forever War	St. Martin's Press, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Novel, science fiction, novel, 1975, science-fiction	science-fiction
Joe Haldeman	Forever Peace	Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Novel, Ace Books, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, science-fiction	science-fiction
Joe Haldeman	Camouflage	Nebula-Award-for-Best-Novel, Analog Science Fiction and Fact, Novel, science-fiction	science-fiction
Joe Haldeman	The Accidental Time Machine	science-fiction, Nebula-Award-for-Best-Novel-Finalist, Ace Books, Novel	science-fiction
Joe Haldeman	Graves	Science Fiction, The Magazine of Fantasy, Short-Story, Nebula-Award-for-Best-Short-Story, science-fiction	science-fiction
Joe Haldeman	Tricentennial	Hugo-Award-for-Best-Short-Story, Fiction, Analog Science Fact, Short-Story, science-fiction	science-fiction
Joe Haldeman	None So Blind	Hugo-Award-for-Best-Short-Story, science-fiction, Short-Story, Asimov's Science Fiction	science-fiction
Neal Stephenson	The Diamond Age	Locus-Award-For-Best-Science-Fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel-Finalist, Bantam Spectra, 1995, Hugo-Award-for-Best-Novel, Novel, science fiction, novel, Fiction, science-fiction	science-fiction
Neal Stephenson	The Baroque Cycle (i.e. Quicksilver; The Confusion; The System of the World)	Locus-Award-For-Best-Science-Fiction, Fiction, Novel	fiction
Neal Stephenson	Anathem	Locus-Award-For-Best-Science-Fiction, William Morrow and Company, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Novel, science-fiction, science fiction, novel, Fiction, 2008	science-fiction
Neal Stephenson	Seveneves	William Morrow and Company, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Novel, HarperCollins, science-fiction	science-fiction
Neal Stephenson	Snow Crash	1992, novel, science fiction	science-fiction
Neal Stephenson	Cryptonomicon	Locus-Award-For-Best-Science-Fiction, Fiction, Novel	fiction
Alfred Bester	The Demolished Man	Hugo-Award-for-Best-Novel, Galaxy Science Fiction, Novel, science fiction, novel, 1952, science-fiction	science-fiction
Alfred Bester	The Computer Connection	Nebula-Award-for-Best-Novel-Finalist, Novel, Fiction, Analog Science Fact, science-fiction	science-fiction
Alfred Bester	The Stars My Destination	1956, novel, science fiction	science-fiction
Alfred Bester	Fondly Fahrenheit	1954, short-story, science fiction	science-fiction
China Miéville	The City  the City	Locus-Award-For-Best-Fantasy-Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel-Finalist, Hugo-Award-for-Best-Novel, Novel, Fantasy, Fiction, Macmillan Publishers, World-Fantasy-Award, science-fiction, Del Rey Books	science-fiction
China Miéville	Perdido Street Station	Nebula-Award-for-Best-Novel-Finalist, Novel, World-Fantasy-Award-finalist, Fantasy, Macmillan Publishers, science-fiction, Del Rey Books	science-fiction
China Miéville	Embassytown	Locus-Award-For-Best-Science-Fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel-Finalist, Novel, science fiction, novel, Fiction, Subterranean Press, 2011, science-fiction, Del Rey Books	science-fiction
China Miéville	Iron Council	Locus-Award-For-Best-Fantasy-Novel, Novel, World-Fantasy-Award-finalist, Fantasy, Fiction, Macmillan Publishers, Del Rey Books	fantasy
China Miéville	Kraken	Fiction, Locus-Award-For-Best-Fantasy-Novel, Novel	fiction
China Miéville	The Scar	Locus-Award-For-Best-Fantasy-Novel, Novel, World-Fantasy-Award-finalist, Fantasy, Fiction, Macmillan Publishers, Del Rey Books	fantasy
China Miéville	Railsea	John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Novel, science-fiction, Del Rey Books	science-fiction
China Miéville	The City & The City	novel, science fiction, 2009	science-fiction
Mary Robinette Kowal	The Calculating Stars	Locus-Award-For-Best-Science-Fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Novel, Fiction, Tor Books, science-fiction	science-fiction
Mary Robinette Kowal	Shades of Milk and Honey	science-fiction, Nebula-Award-for-Best-Novel-Finalist, Novel, Tor Books	science-fiction
Mary Robinette Kowal	Glamour in Glass	science-fiction, Nebula-Award-for-Best-Novel-Finalist, Novel, Tor Books	science-fiction
Mary Robinette Kowal	For Want of a Nail	Hugo-Award-for-Best-Short-Story, science-fiction, Short-Story, Asimov's Science Fiction	science-fiction
John Brunner	Stand on Zanzibar	Nebula-Award-for-Best-Novel-Finalist, 1968, Hugo-Award-for-Best-Novel, Doubleday, Novel, science fiction, novel, science-fiction	science-fiction
John Brunner	The Jagged Orbit	science-fiction, Nebula-Award-for-Best-Novel-Finalist, Ace Books, Novel	science-fiction
John Brunner	The Sheep Look Up	Nebula-Award-for-Best-Novel-Finalist, Row, Novel, Harper, science-fiction	science-fiction
Robert Charles Wilson	Spin	John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Hugo-Award-for-Best-Novel, Novel, Tor Books, science-fiction	science-fiction
Robert Charles Wilson	Axis	John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, science-fiction, Novel, Tor Books	science-fiction
Robert Charles Wilson	Julian Comstock: A Story of 22nd-Century America	John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, science-fiction, Novel, Tor Books	science-fiction
Robert Charles Wilson	The Chronoliths	science-fiction, Novel, Tor Books, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel	science-fiction
Robert Charles Wilson	The Cartesian Theater	Theodore Sturgeon Award, science-fiction, Short-Story, FutureShocks (Roc Books)	science-fiction
Orson Scott Card	Speaker for the Dead	Locus-Award-For-Best-Science-Fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, 1986, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Novel, science fiction, novel, Fiction, Tor Books, science-fiction	science-fiction
Orson Scott Card	Ender's Game	1985, Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Novel, science fiction, novel, Tor Books, science-fiction	science-fiction
Orson Scott Card	Red Prophet	Locus-Award-For-Best-Fantasy-Novel, Nebula-Award-for-Best-Novel-Finalist, Novel, Fiction, Tor Books, science-fiction	science-fiction
Orson Scott Card	Prentice Alvin	Locus-Award-For-Best-Fantasy-Novel, Nebula-Award-for-Best-Novel-Finalist, Novel, Fiction, Tor Books, science-fiction	science-fiction
Orson Scott Card	Alvin Journeyman	Fiction, Locus-Award-For-Best-Fantasy-Novel, Novel	fiction
Orson Scott Card	Seventh Son	Locus-Award-For-Best-Fantasy-Novel, Novel, World-Fantasy-Award-finalist, Fantasy, Fiction, Tor Books	fantasy
Emily Tesh	Some Desperate Glory	Hugo-Award-for-Best-Novel, Tordotcom/Orbit Books, Novel, science-fiction	science-fiction
A. E. van Vogt	Slan	Astounding Science Fiction, Hugo-Award-for-Best-Novel, Retro-Hugos, Novel, science fiction, novel, 1946, science-fiction	science-fiction
A. E. van Vogt	Black Destroyer	short-story, science fiction, 1939	science-fiction
Leigh Brackett	Shadow Over Mars (The Nemesis from Terra)	Hugo-Award-for-Best-Novel, Retro-Hugos, Novel, Startling Stories, science-fiction	science-fiction
Larry Niven	Ringworld	Hugo-Award-for-Best-Novel, Nebula-Award-for-Best-Novel, Novel, science fiction, novel, 1970, Ballantine Books, science-fiction	science-fiction
Larry Niven	The Mote in God's Eye	Nebula-Award-for-Best-Novel-Finalist, Novel, Schuster, Simon, science-fiction	science-fiction
Larry Niven	Inferno	Pocket Books, Nebula-Award-for-Best-Novel-Finalist, Novel, science-fiction	science-fiction
Larry Niven	The Integral Trees	Locus-Award-For-Best-Science-Fiction, Nebula-Award-for-Best-Novel-Finalist, Novel, Fiction, science-fiction, Del Rey Books	science-fiction
Larry Niven	Neutron Star	1966, Hugo-Award-for-Best-Short-Story, science-fiction, If, Short-Story, short-story, science fiction	science-fiction
Larry Niven	Inconstant Moon	All the Myriad Ways (Ballantine Books), Hugo-Award-for-Best-Short-Story, science-fiction, 1971, Short-Story, short-story, science fiction	science-fiction
